"","X","species","avg_score","clim_match","batch","native","established","aquatic","climate_mismatch","ref","X.1"
"40",193,"Nymphaea_tetragona",2.157984434,"High","2011_2040","N","N","Y","N","https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?sciname=Nymphaea%20tetragona",""
"41",194,"Oenothera_flava",0.450325083,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=OEFL",""
"42",203,"Orontium_aquaticum",0.037418187,"Low","2011_2040","N","N","Y","N","https://plants.ifas.ufl.edu/plant-directory/orontium-aquaticum/",""
"43",205,"Osmerus_eperlanus",0.125144907,"Low","2011_2040","N","N","Y","N","https://fishbase.mnhn.fr/summary/1334",""
"44",213,"Palaemon_longirostris",3.77e-05,"Low","2011_2040","N","N","Y","N","https://www.sealifebase.ca/summary/Palaemon-longirostris.html",""
"45",219,"Paspalum_notatum",8.96e-07,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.38954",""
"46",220,"Paspalum_urvillei",5.24e-05,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.109621",""
"47",221,"Paspalum_vaginatum",0.000866683,"Low","2011_2040","N","N","Y","N","https://www.cal-ipc.org/plants/profile/paspalum-vaginatum-profile/",""
"48",230,"Physalis_angulata",0.002388505,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/physalis/angulata/",""
"49",241,"Polygonum_plebeium",0.000600513,"Low","2011_2040","N","N","Y","N","https://www.nzpcn.org.nz/flora/species/polygonum-plebeium/",""
"50",242,"Potamocorbula_amurensis",0.000889972,"Low","2011_2040","N","N","Y","N","https://invasions.si.edu/nemesis/species_summary/81746",""
"51",243,"Potamothrix_bavaricus",0.000607209,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.116497",""
"52",245,"Potentilla_supina",1.34618365,"Medium","2011_2040","N","N","Y","N","https://www.saskwildflower.ca/nat_Potentilla-supina-ssp-paradoxa.html",""
"53",247,"Prymnesium_parvum",0.005097292,"Low","2011_2040","N","N","Y","N","https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=3234",""
"54",252,"Puccinellia_nuttalliana",3.505355112,"High","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/puccinellia/nuttalliana/",""
"55",262,"Rosa_micrantha",0.0768537,"Low","2011_2040","N","N","Y","N","https://gobotany.nativeplanttrust.org/species/rosa/micrantha/",""
"56",271,"Sagina_saginoides",2.096576285,"High","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=SASA",""
"57",272,"Sagittaria_platyphylla",0.01253734,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=sapl",""
"58",274,"Salsola_soda",0.000201124,"Low","2011_2040","N","N","Y","N","https://www.cal-ipc.org/plants/profile/salsola-soda-profile/","NOTE: Esturine species"
"59",277,"Salvinia_auriculata",8.09e-05,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.48444",""
"60",299,"Sesbania_herbacea",0.003982645,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=sehe8",""
"61",300,"Seseli_libanotis",1.277106423,"Medium","2011_2040","N","N","Y","N","https://luontoportti.com/en/t/2335/moon-carrot",""
"62",302,"Sidalcea_malviflora",0.045708134,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=SIMA2",""
"63",310,"Solanum_chenopodioides",0.021035233,"Low","2011_2040","N","N","Y","N","https://www.nzpcn.org.nz/flora/species/solanum-chenopodioides/",""
"64",321,"Stenotaphrum_secundatum",0.000939615,"Low","2011_2040","N","N","Y","N","https://plants.ces.ncsu.edu/plants/stenotaphrum-secundatum/",""
"65",330,"Theora_lubrica",4.63e-05,"Low","2011_2040","N","N","Y","N","https://invasions.si.edu/nemesis/species_summary/81322","NOTE: Esturine species"
"66",349,"Typha_domingensis",0.049347994,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=TYDO",""
"67",353,"Urtica_chamaedryoides",0.000585435,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=urch3",""
"68",355,"Vallisneria_spiralis",0.030958992,"Low","2011_2040","N","N","Y","N","https://www.cabidigitallibrary.org/doi/10.1079/cabicompendium.56573",""
"69",362,"Verbena_urticifolia",0.65164666,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VEUR",""
"70",363,"Verbesina_alternifolia",0.050434193,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VEAL",""
"71",364,"Verbesina_occidentalis",0.010130779,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VEOC",""
"72",374,"Vitis_cinerea",0.015414006,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=VICIH",""
"73",375,"Wolffia_arrhiza",0.124491567,"Low","2011_2040","N","N","Y","N","https://www.wildflower.org/plants/result.php?id_plant=WOAR2",""
"74",376,"Xanthium_spinosum",0.162410613,"Low","2011_2040","N","N","Y","N","https://wiki.bugwood.org/Xanthium_spinosum",""
"75",377,"Xiphophorus_hellerii",0.127931326,"Low","2011_2040","N","N","Y","N","https://www.fishbase.se/summary/Xiphophorus-hellerii",""
"76",378,"Xiphophorus_maculatus",0.066740272,"Low","2011_2040","N","N","Y","N","https://www.fishbase.se/summary/Xiphophorus-maculatus",""
