"","species_common.x","species_latin","Family","Qu.1","RationaleQu1","Qu.2","RationaleQu.2","Qu.3","RationaleQu.3","Qu.4","RationaleQu.4","Global environmental risk","AISR_Listing","Secondary_Assessment","Science_Support","Notes.x","species_common.y","taxa","listed_elsewhere","pet_aquarium","Aquaculture","rec_fish","biofouler","Bilge Water","water_garden","possible_to_overwinter","suitable_hab_suspected","Notes.y"
"11","Asian skunk cabbage","Lysichiton camtschatcensis","Araceae",2,"Seeds may be dispersed via waterways but also probably by birds and mammals, as occurs in the native range.",3,"appears to be a wetland plant also capabale of growing in wet soil of riparian zones",0,"d.d.",0,"d.d",5,"No","No","No","American Skunk cabbage (Lysichiton americanus) is known to be invasive,  but Asian Skunk cabbage is not.","Asian skunk cabbage","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"12","Asp","Leuciscus aspius","Cyprinidae",2,"This species has been intentionally and illegally introduced for recreational fishing throughout Europe. Like many riverine fish species, L. aspius migrates throughout systems seasonally (Pfauserova et al. 2019). However, L. aspius has notable difficulty in establishing successful populations when introduced (Copp & Godard 2011).",2,"Much of the species' occurrence records from iNaturalist suggest that it may find suitbale habitat in Nova Scotia, which would then impact juvenile salmon, Atlantic whitefish and other small-bodied fish in Canada. L. aspius is a piscivore (Copp & Godard 2011).",2,"Some adverse impacts to ecosystem community would include predation on medium- and larger-size fish by L. aspius and predation on crustaceans, benthic organisms, terrestrial and aquatic insects, and larval fish Copp & Goddard 2011). The exact impacts of asp are unknown as there is little literature available on this species.",2,"The species may cause some local-scale ecosystem functional impacts through foodweb shifts, but again little is known on how/if this species would establish in Maritimes or the species' impacts.",8,"Yes","No","Yes","How likely is this species to establish if introduced?","Asp","Fish","USFW, CABI","No","No","Yes","No","No","No","Yes","uncertain",NA
"13","Australian swamp stonecrop","Crassula helmsii","Crassulaceae",3,"The trade and potential escape through the aquarium and water garden industry; dispersal of disseminules by water currents, often found as a ‘contaminant’ or ‘hitchhiker’ plant with other species ordered through water garden catalogues.  The transportation of this plant on recreational equipment or by wildlife moving between water bodies plays a role in local spread. Can take on various growth forms depending on prevailing conditions, and is able to act as a submerged, emergent, or semi-terrestrial species. A highly competitive plant which is capable of rapid growth and spread",3,"C. helmsii inhabits lakes (area of high conservation value), ponds, gravel pits, inland and coastal wetlands, marshes, swamps, rivers, canals, and irrigation ditches. It colonizes waters ranging from acidic to alkaline, and has also been recorded in semi-saline water bodies",3,"C. helmsii has the ability to form dense stands of 100% cover, which cause many negative environmental and economic impacts including displacing native plant species, In the locales to which it has been introduced, it has often become the dominant plant species, outcompeting natives and displacing other species. A thin covering of C. helmsii can cause significant germination suppression in some plant species. Dense mats suppress native flora and create a poor ecosystem for invertebrates, amphibians, and fish. Decomposing mats of C. helmsii also have the ability to cause fish kills by creating severe fluctuations in dissolved oxygen levels in the water",3,"Reduces biodiversity, decreases water quality, reduces water flow and functioning of flood-control systems, can decrease oxygen levels by limiting water circulation and increasing decomposition of dead plants",12,"Yes","No","No","Sufficient data exists on the impacts of this species and to justify listing.","Australian swamp stonecrop","Plant",NA,"No","No","No","No","Yes","Yes","Yes","uncertain",NA
"14","Austrian yellowcress","Rorippa austriaca","Brassicaceae",2,"Can be severely weedy, and is classified as a noxious weed in several western states. Contamination of agricultural seed, which may in part account for its rapid spread in agricultural regions. Clonal growth, spread by lateral roots, regeneration of root fragments. Reproduction in Rorippa austriaca is usually vegetative, with the plants concentrating their growth 
in belowground tissue and spreading clonally, forming dense patches (CABI, 2019). Root fragments are capable of growing new plants, and Dietz et al. (2002) have described regeneration from root fragments in field studies as “100% successful”.",2,"grows in wetland-riparian or moist areas including roadsides, fields, pastures, marshes, ditches, floodplains, lakeshores, and mud flats between 100-1900 meters (m) above sea level",3,"Disrupts and outcompetes native plant communities.  Impacts threatened or endangered species by disrupting critical 
habitats. Invades pastures and cultivated fields and competes with desirable forage",3,"Reduces biodiversity, colonizes disturbed habitats and alters ecosystem function",10,"Yes","No","No","There is sufficient scientific evidence to support listing and to understand ecosystem impacts.","Austrian yellowcress","Plant",NA,"No","No","No","No","No","No","Yes","Yes",NA
"15","Awl-leaf arrowhead","Sagittaria subulata","Alismataceae",2,"Aquarium trade; fast grower, spreading through runners and forming a dense carpet. Considered invasive in Great Britain and Indonesia",3,"Brackish or salt marshes and flats, floodplain (river or stream floodplains), fresh tidal marshes or flats, shores of rivers or lakes",1,"Lacking data but presumably will outcompete native plant species due to its aggressive growth patterns",1,"Lacking data but presumably will reduce biodiversity by forming monocultures",7,"Yes","Yes","Yes","Insufficient data on ecosystem impacts and species impacts. Would benefit from further science advice as it seems like a potential candidate for listing","Awl-leaf arrowhead","Plant",NA,"No","No","No","No","Yes","Yes","uncertain","uncertain","Ideal temperature range between 20 – 27 °C (68 – 82 °F), but is said to tolerate lower water temperatures"
"16","Bahiagrass","Paspalum notatum","Poaceae",3,"Used as forage, for erosion control and as an ornamental and lawn grass. Aggressive nature also makes it difficult to control as a weed in the landscape. Most commonly used as a pasture species, but can be used for hay production, erosion control, and wildlife habitat. A deep-rooted, sod-forming species that is well adapted to a wide range of soils and conditions in this region. It spreads by short, stout stolons and is a prolific seed producing plant. Was introduced into the United States from South America in the late 1930s (probably in ballast discarded from ships visiting the port at Pensacola, Florida)",2,"dry habitats, moist grasslands, wetlands, disturbed sites, shrublands, forest edges, open ground, savannas, roadsides, irrigation channels, and active and abandoned pastures at elevation from near sea level to 2000m.  It is often planted in gardens and lawns in parks and recreational areas, and can be a weed in fields and plantations",3,"Once established it grows forming dense mats of stolons, rhizomes and a thick root system that inhibit the growth and establishment of other plant species. It is very persistent and competitive, and tolerates drought, sporadic flooding, and continuous grazing; it has the potential to continue dominating pastures decades after abandonment. In the United States, Paspalum notatum is inhibiting the natural restoration of native pine forests across the southern states. Native forests of Pinus palustris and Pinus elliottii are generally able to re-establish in abandoned pastures following cultivation or grazing, but the presence in these pastures of Paspalum notatum and its extensive and dense mat of roots and rhizomes inhibits forest regeneration.",3,"Habitat alteration, monoculture formation, negatively impacts agriculture, reduced native biodiversity, threat to/ loss of native species",11,"Yes","Yes","Yes","While there is sufficient data on the impacts of this species, Science advice would be beneficial on whether this species could successfully establish in our regions in future climate projections.","Bahiagrass","Plant",NA,"No","No","No","No","No","Yes","uncertain","Yes","Tolerates warm average temp. > 10°C, Cold average temp. > 0°C"
"17","Big-eared radix","Radix auricularia","Lymnaeidae",3,"This species is likely to be introduced through aquarium releases and may be found on aquatic plants. The species is widely distributed through Europe, Western US, and southern BC. A few isolated populations have been identified in the Great Lakes and St. Lawernece River (see iNatrualist; Kipp et al. 2022).",2,"Given that many areas of conservation concern (e.g. SAR habitat, potential ESAs) are further away from cities and, therefore, less likely to have aquarium releases, the likelihood of R. auricularia introduction to conservation areas is low. However, Blackettes Lake in Cape Breton may be one cite where there is suitable habitat, pet stores nearby, and a lake identified for conservation concern.",2,"The main concern with this species introduction is the potential to transmit parasites (Kipp et al. 2022). Yet, the CFIA biosecurity controls for parasite and disease in aquarium animals is likely to limit commerically available snails to host parasites (although, this is an assumption).",1,"no data is available that suggested this species impacted ecosystem function.",8,"Yes","No","Yes","Is this species likely to cause native species or ecosystem function impacts if introduced?","Big-eared radix","Mollusc","AISR, USGS","Yes","No","No","Yes","Yes","No","Yes","Yes",NA
"18","Bighead carp","Hypophthalmichthys nobilis","Cyprinidae",3,"Similar to silver carp, H. nobilis is primarily introduced as a biocontrol for algal growth in aquaculture sites from which the species later escaped and continued to spread throughout connected systems (Fuller et al. 2024). Interesting, the species may also be desirable for garden/city ponds, also as a biocontrol (Fuller et al. 2024). The species is expected to become widely spread if introduced to either aquauclture or garden/city ponds as is evident from the wide distribution throughout the US river systems.",3,"H. nobilis is present in numerous freshwater habitats and has established reproductive populations where introduced in the US, including the northern states (Fuller et al. 2024). Therefore, it is excepted that the species could establish in freshwater systems in the Maritimes if introduced including within areas of hihg conservation value.",2,"The impacts of H. nobilis are not well studied but there is some evidence suggetsing that this species (similar to other invasive carps) would impact plankton populations, which impacts larval fish, mussels, freshwater clams, and other native planktivorous species. Additionally, H. nobilis may impact paddlefish, bigmouth buffalo, and gizzard shad through overlapping diets (Fuller et al. 2024).",2,"This species high fecundity could contribute to increased inter-species competitions with other native fish species leading to food web shifts, changes in native species behaviours, and declines in plankton abundance (Fuller et al. 2024).",10,"Yes","No","Yes","More research is needed on inter-species competition to better determine the direct and indirect impacts of H. nobilis.","Bighead carp","Fish","AISR","No","Yes","No","No","No","Yes","Yes","Yes","Does not have a climae match assessment"
"19","Bigpod sesbania","Sesbania herbacea","Fabaceae",0,"not frost tolerant",0,"not frost tolerant",0,"not frost tolerant",0,"not frost tolerant",0,"No","No","No","does not tolerate forst, likely not able to survive in our climate","Bigpod sesbania","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes","*may not be able to survive in our climate"
"20","Bitterling","All species of the genera Rhodeus and Tanakia","Cyprinidae",2,"This species seems to have near-conservation concern status in native ranges and also wides-spread invasion success in other areas such as Russia (Kozhara et al. 2007). Therefore, further research is needed to determine what Canada's risk of invasion would be. Additionally, there are multiple species of 'bitterling,' some of which may find more or less suitable habitat in Canada (Morosawa 2011). Either way, bitterling is likely to be introduced through aquarium release and this pathway should be targeted to prevent inroductions (Nico & Fuller 2022).",2,"It is unknown how wide spread bitterling would become in conservation areas. There was only one reported introduction of the species in New York, USA, but it is unknown if this population has presisted (Nico & Fuller 2022).",2,"Based on my expert opinion of carp and minnow species, there is likely to be some impacts on aquatic marcoinvertebrates as smaller fish tend to consume these species. However, I would expect that the bitterling could become e a food source for larger fish.",1,"no data available on how/if bitterling impact ecosystem function.",7,"Yes","No","Yes","Is this species likely to cause native species or ecosystem function impacts if introduced? How likely is this species to establish a reproducing population if introduced?","Bitterling","Fish","AISR","Yes","No","No","No","No","Yes","Yes","Yes",NA
"21","Black Bullhead","Ameiurus melas","Ictaluridae",3,"Species has an extensive track record for being introduced as a sport fish, as well as through other pathways. It has a wide range of environmental tolerances.",2,"With the widespread nature of the species in North America, it is likely that high value habitat could be colonized",3,"This is the main impact of this species. It can feed on other newly hatched gamefish, small amphibians, and directly competes with similar native fish species.",1,"The ecosystem is likely to remain in a good state overall, however, individual species may see populations reduced through predation and competition.",9,"Yes","No","No",NA,"Black Bullhead","Fish","USGS","No","No","Yes","No","No","No","Yes","Yes",NA
"22","Black carp","Mylopharyngodon piceus","Cyprinidae",3,"M. piceus is thought to have been introduced through imported shipments of contaminated grass carp shipments to aquaculture facilities in Arkansas, Illinois, Mississippi, and Missouri. These fish later escaped aquaculture contianment during flood events and naturally dispersed through the Mississippi river basin. Notably, the species has also been sold in fish markets in Louisiana and may have accidentally been shipped from Arkansas to Missouri in live bait shipments (Nico & Neilson 2024).",3,"Although not yet reported in Canada or within the Northern US, the species thermal tolerances (0-45 degree C water temperature), and the fact that similar carp species have been successful invaders in Canadian waters already, suggest that M. piceus could beomce established in mulitple freshwater ecosystems types including habitats of high conservation value.",3,"M. piceus predates native snails, mussels, and clams, which leads to population abundance declines of predated species and indirectly contributes to increased algae abundance due to decreased abundance of filter feeders and grazers (Fuller & Neilson 2024). Some studies have suggested that as much as 100% of snails were eliminated from a pond containing M. piceus (Fuller & Neilson 2024).",3,"Due to the species high predation on benthic mollusks, M. piceus invasions can lead to food web collapse due to loss of lower trophic species. As noted by Fuller & Nielson (2024), even triploid aquaculture escapees can have long life spans (potentially 15 years) which contributes to prolonged pressure on native mollusks leading to significant food web shifts even if all M. piceus invading a system are not able to establish breeding populations.",12,"Yes","No","No",NA,"Black carp","Fish","AISR","No","Yes","Yes","No","No","No","Yes","Yes","Does not have a climae match assessment"
"23","Black Crappie","Pomoxis nigromaculatus","Centrarchidae",2,"Widely introduced throughout the 20th century, the black crappie is a popular sportfish that has a large fecundity, a short growing period, and an appetite for smaller fish and inverts. Although pervasive, it does not appear the species has a propensity to expand it's population uncontrollably.",2,"This species could and likely does inhabit areas of high value both economically and ecologically.",2,"Not much documentation exists on the species specific impacts of black crappie, but it has been documented to feed on mysids, juvenile shad and striped bass. In the USA, it has also been reported as affecting the endangered Warner sucker, Catostomus warnerensis, and the critically endangered Shasta crayfish, Pacifastacus fortis.",2,"Commonly found in freshwater systems as an intentionally introduced fish species, black crappie may overpopulate ecosystems, altering fish communities through competition and predation",8,"Yes","Yes","No","Already Completed?","Black Crappie","Fish",NA,"Yes","Yes","Yes","No","No","No","Yes","Yes",NA
"24","Black sea sprat","Clupeonella cultriventris","Ehiravidae",3,"It is migratory between winter or autumn feeding and summer spawning grounds, populations in the Black Sea are anadromous and it spawns in rivers. Species may also be transported through ballast water.",3,"It is found in coastal waters, lagoons and lakes, estuaries and lower reaches of large rivers with a salinity up to 13 ‰.",2,"C. cultriventris occupies a significant position in the brackish and freshwater ecosystems; it is both a basic consumer of zooplankton, and also a producer for predatory marine fish and seals. It consumes the same zooplankton as young specimens of aboriginal fish species. In some cases feeding similarity exceeds 50% (Kiyashko et al., 2007), therefore high densities of C. cultriventris could alter growth of young aboriginal fish species.",2,"may alter foodwebs through cometition for resources ie: food such as phytoplankton)",10,"Yes","yes","maybe",NA,"Black sea sprat","Fish","GLANSIS","No","No","No","No","Yes","No","Yes","Yes",NA
"25","Bloody Red Mysid","Hemimysis anomala","Mysidae",2,"Primarily transported through ballast water, but also secondary transport through recreational activities. High probablitity of spreading to inland lakes and rivers",2,"Likely can establish in upriver and inland lakes and rivers making it likely that it could establish in high value areas",2,"Doesn't seem to have direct impacts in the Great Lakes thus far, but could potentially reduce the food available to small fish, and dense swarms can have impacts on native fish as well",2,"Widespread establishment of H. anomala has the potential to cause food web disruptions, as well as alter nutrient and contaminant cycling. No adverse impacts have been noted in the great lakes so far",8,"Yes","No","No","Already completed","Bloody Red Mysid","Arthropod",NA,"Yes","No","No","No","Yes","No","Yes","Yes",NA
"26","Bloody Red Mysis","Limnomysis benedeni","Mysidae",3,"Intentional (for fish feeding), active swimming and passive drift along waterways, human activities such as inadvertent stocking with plants or commercially interesting animals, runoff from aquaria (aquarium trade), and quick overland transport of boats. Main vectors of expansion are ships (in cooling water filters or bilge or ballast water), with construction of navigation canals as the main associated factor. Overland transfers are evident but probably of minor importance",3,"Brackish lagoons, estuaries, freshwater ponds, freshwater rivers, streams, reservoirs, lakes and irrigation channels. Most populations live in freshwater; however, mass occurrences were mainly observed in coastal and continental lakes with salinities of 0.5-5 PSU",3,"host species of burn spot disease, a bacterial shell disease found in cultured shellfish, particularly lobsters; loss of native macroinvertebrate species; decline in abundance and reduction of the distribution range of native species",2,"modification of natural benthic communities, modification of sediment/habitat by pelletisation, Olenin et al. (2007) assessed the effect by its invasion on habitats as weak (alteration of habitat, but no reduction of spatial extent of a habitat). Classified the impact on ecosystem functioning as moderate (weak modification of ecosystem performance and/or addition of a new, or reduction of existing, functional groups)",11,"Yes","No","No","There is sufficient scientific evidence to support listing and to understand ecosystem impacts.","Bloody Red Mysis","Arthropod","GLANIS","Yes","No","No","No","Yes","Yes","uncertain","Yes",NA
"27","Blue catfish","Ictalurus furcatus","Ictaluridae",3,"Species is widely distributed through US, especially along the Eastern coast (Fuller & Neilson 2022; iNatrualist). The species has been established both intentionally and illegally to stock lakes and to establish new food sources for human consumption (Fuller & Neilson 2022).",3,"Based on climate match modeling for the Great Lakes suggesting suitable habitat and the establishment of I. furcatus in Chesapeake Bay region, it seems likely that this fish would find suitable habitat in the Maritimes (Fuller & Neilson 2022; Nepal et al. 2020). Furthermore, the species preferrence for streams and rivers may result in habitat overlap with Atlantic salmon, which are a species of conservation concern. Due to habitat preferences this species is more likely to establish in New Brunswick than the other Maritime provinces. The large river systems in New Brunswick offer a large connected system to aid in species spread.",2,"There is little known about this species' impacts on native species. However, Nepal et al. (2020) suggest that I. furcatus has similar life-history traits to other high profile invasive species such as round goby, bigheaded carp, and Indo-Pacific red lionfish. Therefore, further research is needed to determine what impacts this species would have on invaded systems.",2,"Again, this species is data defficient but other catfish species are known to increase water turbidity due to feed style. This may be true for I. furcatus too.",10,"Yes","Yes","Yes","Likely to require a detailed-level risk assessment for all of Canada.","Blue catfish","Fish","USFW","No","No","Yes","No","No","No","Yes","Yes",NA
"28","Blue tilapia","Oreochromis aureus","Cichlidae",1,"unlikely to become established in Canada due to temperature preferrence",1,"unlikely to become established in Canada due to temperature preferrence",0,"unlikely to become established in Canada due to temperature preferrence",0,"unlikely to become established in Canada due to temperature preferrence",2,"No","No","No","*Should re-evaluate in a few years","Blue tilapia","Fish","USFW","Yes","Yes","Yes","No","No","Yes","uncertain","uncertain",NA
"29","Bluegill","Lepomis macrochirus","Centrarchidae",3,"This species is widely distributed throughout the US. Primary introductions occur through intentional stocking for sportfishing (Fuller & Cannister 2022).",3,"Not only is this species able to quickly disperse through connected water bodies, but it has been linked with population declines of frogs and salamanders where introduced (Fuller & Cannister 2022). Also, L. macrochirus is able to hybridize with green sunfish, redear sunfish, redbreast sunfish, and warmouth (and possibly other fish from the sunfish family) (Fuller & Cannister 2022). As sunfish and salamanders are SARA listed or COSEWIC assessed species, which means that bluegill could establish and impact specie sof conservation value (also, sunfish have recreational value).",3,"L. macrochirus quickly reproduces once introduced spawning in both spring and summer (Fuller & Cannister 2022). In South Africa, L. macrochirus is considered a 'major' threat to biodiversity. Juvenile fish crustaceans and insects, while adults consume fish eggs, which impacts native fish diversity through oophagy and food web shifts (Ndaleni et al. 2018). Furthermore, L. macrochirus can help facilitate establishment of other non-natiev species that co-evolved with this fish (e.g. bullfrog, Adams et al. 2003).",3,"L. macrochirus alters foodwebs and threatens biodiversity. This alters inter-species dynamics and can facilitate invasion of ecosystems by other non-native species (see previous section for references).",12,"Yes","No","Yes","Should conduct a detailed-level risk assessment to predict areas mostly at risk of introduction/established.","Bluegill","Fish",NA,"No","No","Yes","No","No","No","Yes","Yes",NA
