Group,Family,Scientific Name,Common Name,Continent of Origin,Year First Collected,Category
Crustaceans-Crayfish,Cambaridae,Procambarus acutus,White River crawfish,North America,2011,Range Expander
Crustaceans-Crayfish,Cambaridae,Procambarus clarkii,Red Swamp Crayfish,North America,1967,Nonindigenous
Crustaceans-Mysids,Mysidae,Hemimysis anomala,bloody red shrimp,Eurasia,2006,Nonindigenous
Entoprocts,Barentsiidae,Urnatella gracilis,freshwater goblet worm,North America,2023,Nonindigenous
Fishes,Clupeidae,Alosa aestivalis,Blueback Herring,North America,1981,Nonindigenous
Fishes,Clupeidae,Alosa pseudoharengus,Alewife,North America,1868,Nonindigenous
Fishes,Anguillidae,Anguilla rostrata,American Eel,North America,1844,Range Expander
Fishes,Gasterosteidae,Apeltes quadracus,Fourspine Stickleback,North America,1986,Nonindigenous
Fishes,Sciaenidae,Aplodinotus grunniens,Freshwater Drum,North America,2000,Range Expander
Fishes,Cyprinidae,Carassius auratus,Goldfish,Asia,1880,Nonindigenous
Fishes,Cyprinidae,Ctenopharyngodon idella,Grass Carp (diploid),Asia,2011,Nonindigenous
Fishes,Cyprinidae,Cyprinella analostana,Satinfin Shiner,North America,1985,Range Expander
Fishes,Cyprinidae,Cyprinus carpio,Common Carp,Eurasia,1880,Nonindigenous
Fishes,Clupeidae,Dorosoma cepedianum,Gizzard Shad,North America,1932,Range Expander
Fishes,Centrarchidae,Enneacanthus gloriosus,Bluespotted Sunfish,North America,1916,Nonindigenous
Fishes,Esocidae,Esox masquinongy,Muskellunge,North America,1962,Range Expander
Fishes,Esocidae,Esox niger,Chain Pickerel,North America,1985,Range Expander
Fishes,Poeciliidae,Gambusia affinis,Western Mosquitofish,North America,1923,Nonindigenous
Fishes,Gasterosteidae,Gasterosteus aculeatus,Threespine Stickleback,North America,1980,Range Expander
Fishes,Percidae,Gymnocephalus cernua,Ruffe,Eurasia,1986,Nonindigenous
Fishes,Catostomidae,Ictiobus bubalus,Smallmouth Buffalo,North America,1965,Nonindigenous
Fishes,Catostomidae,Ictiobus cyprinellus,Bigmouth Buffalo,North America,1962,Nonindigenous
Fishes,Catostomidae,Ictiobus niger,Black Buffalo,North America,1986,Nonindigenous
Fishes,Atherinopsidae,Labidesthes sicculus,Brook Silverside,North America,1974,Range Expander
Fishes,Lepisosteidae,Lepisosteus platostomus,Shortnose Gar,North America,1962,Nonindigenous
Fishes,Centrarchidae,Lepomis humilis,Orangespotted Sunfish,North America,1929,Nonindigenous
Fishes,Centrarchidae,Lepomis microlophus,Redear Sunfish,North America,1928,Nonindigenous
Fishes,Cobitidae,Misgurnus anguillicaudatus,Pond Loach,Asia,1939,Nonindigenous
Fishes,Moronidae,Morone americana,White Perch,North America,1946,Nonindigenous
Fishes,Gobiidae,Neogobius melanostomus,Round Goby,Eurasia,1990,Nonindigenous
Fishes,Cyprinidae,Notropis buchanani,Ghost Shiner,North America,2000,Range Expander
Fishes,Ictaluridae,Noturus insignis,Margined Madtom,North America,1928,Nonindigenous
Fishes,Salmonidae,Oncorhynchus gorbuscha,Pink Salmon,North America,1956,Nonindigenous
Fishes,Salmonidae,Oncorhynchus kisutch,Coho Salmon,North America,1933,Nonindigenous
Fishes,Salmonidae,Oncorhynchus mykiss,Rainbow Trout,North America,1876,Nonindigenous
Fishes,Salmonidae,Oncorhynchus nerka,Sockeye Salmon,North America,1950,Nonindigenous
Fishes,Salmonidae,Oncorhynchus tshawytscha,Chinook Salmon,North America,1870,Nonindigenous
Fishes,Osmeridae,Osmerus mordax,Rainbow Smelt,North America,1906,Nonindigenous
Fishes,Percidae,Percina shumardi,River Darter,North America,1926,Range Expander
Fishes,Petromyzontidae,Petromyzon marinus,Sea Lamprey,North America,1835,Nonindigenous
Fishes,Cyprinidae,Phenacobius mirabilis,Suckermouth Minnow,North America,1950,Range Expander
Fishes,Cyprinidae,Pimephales vigilax,Bullhead Minnow,North America,1960,Range Expander
Fishes,Centrarchidae,Pomoxis annularis,White Crappie,North America,1886,Range Expander
Fishes,Gobiidae,Proterorhinus semilunaris,Freshwater Tubenose Goby,Eurasia,1990,Nonindigenous
Fishes,Ictaluridae,Pylodictis olivaris,Flathead Catfish,North America,1890,Nonindigenous
Fishes,Salmonidae,Salmo salar,Atlantic Salmon,North America,1873,Range Expander
Fishes,Salmonidae,Salmo trutta,Brown Trout,Europe,1883,Nonindigenous
Fishes,Cyprinidae,Scardinius erythrophthalmus,Rudd,Eurasia,1931,Nonindigenous
Insects,Crambidae,Acentria ephemerella,(European) aquatic/water moth,Europe,1938,Nonindigenous
Insects,Erirhinidae,Tanysphyrus lemnae,duckweed/aquatic weevil,Europe,1934,Nonindigenous
Mollusks-Bivalves,Cyrenidae,Corbicula fluminea,basket clam,Asia,1980,Nonindigenous
Mollusks-Bivalves,Dreissenidae,Dreissena bugensis,quagga mussel,Eurasia,1989,Nonindigenous
Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Eurasia,1986,Nonindigenous
Mollusks-Bivalves,Unionidae,Lasmigona subviridis,green floater,North America,1959,Nonindigenous
Mollusks-Bivalves,Sphaeriidae,Pisidium amnicum,greater European peaclam,Eurasia,1897,Nonindigenous
Mollusks-Bivalves,Sphaeriidae,Pisidium henslowanum,Henslow peaclam,Eurasia,1916,Nonindigenous
Mollusks-Bivalves,Sphaeriidae,Pisidium moitessierianum,pygmy peaclam,Eurasia,1895,Nonindigenous
Mollusks-Bivalves,Sphaeriidae,Pisidium supinum,humpbacked peaclam,Eurasia,1959,Nonindigenous
Mollusks-Bivalves,Pisidiidae,Sphaerium corneum,European fingernail clam,Eurasia,1900,Nonindigenous
Mollusks-Gastropods,Bithyniidae,Bithynia tentaculata,mud bithynia,Europe,1800,Nonindigenous
Mollusks-Gastropods,Viviparidae,Cipangopaludina chinensis,Chinese mysterysnail,Asia,1931,Nonindigenous
Mollusks-Gastropods,Viviparidae,Cipangopaludina japonica,Japanese mysterysnail,Asia,1937,Nonindigenous
Mollusks-Gastropods,Pleuroceridae,Elimia livescens,liver elimia,North America,1821,Range Expander
Mollusks-Gastropods,Pleuroceridae,Elimia virginica,Piedmont elimia,North America,1860,Nonindigenous
Mollusks-Gastropods,Hydrobiidae,Gillia altilis,buffalo pebblesnail,North America,1915,Nonindigenous
Mollusks-Gastropods,Hydrobiidae,Potamopyrgus antipodarum,New Zealand mudsnail,Eurasia,1991,Nonindigenous
Mollusks-Gastropods,Lymnaeidae,Radix auricularia,European ear snail,Europe,1901,Nonindigenous
Mollusks-Gastropods,Lymnaeidae,Stagnicola palustris,Marsh pond snail,North America,1933,Nonindigenous
Mollusks-Gastropods,Valvatidae,Valvata piscinalis,European stream valvata,Europe,1897,Nonindigenous
Mollusks-Gastropods,Viviparidae,Viviparus georgianus,banded mysterysnail,North America,1866,Nonindigenous
Nematodes,Anguillicolidae,Anguillicola crassus,eel swim bladder parasite,Asia,2011,Nonindigenous
Plants,Poaceae,Agrostis gigantea,redtop,Eurasia,1838,Nonindigenous
Plants,Betulaceae,Alnus glutinosa,black alder,Eurasia,1913,Nonindigenous
Plants,Poaceae,Alopecurus geniculatus,water foxtail,Eurasia,1882,Nonindigenous
Plants,Butomaceae,Butomus umbellatus,flowering rush,Eurasia,1905,Nonindigenous
Plants,Cabombaceae,Cabomba caroliniana,Carolina fanwort,North America,1935,Nonindigenous
Plants,Cyperaceae,Carex acutiformis,lesser pond sedge,Eurasia,1951,Nonindigenous
Plants,Cyperaceae,Carex disticha,tworank sedge,Eurasia,1866,Nonindigenous
Plants,Amaranthaceae,Chenopodium glaucum,oakleaf goosefoot,Eurasia,1865,Nonindigenous
Plants,Asteraceae,Cirsium palustre,marsh thistle,Eurasia,1934,Nonindigenous
Plants,Apiaceae,Conium maculatum,poison-hemlock,Eurasia,1843,Nonindigenous
Plants,Poaceae,Echinochloa crus-galli,barnyardgrass,Eurasia,1838,Nonindigenous
Plants,Onagraceae,Epilobium hirsutum,hairy willow herb,Eurasia,1874,Nonindigenous
Plants,Rosaceae,Filipendula ulmaria,Queen of the meadow,Eurasia,1916,Nonindigenous
Plants,Poaceae,Glyceria maxima,reed mannagrass,Eurasia,1940,Nonindigenous
Plants,Hydrocharitaceae,Hydrilla verticillata,hydrilla,Asia,2000,Nonindigenous
Plants,Hydrocharitaceae,Hydrocharis morsus-ranae,European frogbit,Europe,1972,Nonindigenous
Plants,Balsaminaceae,Impatiens glandulifera,ornamental jewelweed,Asia,1912,Nonindigenous
Plants,Iridaceae,Iris pseudacorus,yellow iris,Europe and Africa,1882,Nonindigenous
Plants,Juncaceae,Juncus compressus,roundfruit rush,Eurasia,1895,Nonindigenous
Plants,Juncaceae,Juncus gerardii,saltmeadow rush,North America,1862,Range Expander
Plants,Juncaceae,Juncus inflexus,European meadow rush,Eurasia,1922,Nonindigenous
Plants,Fabaceae,Lupinus polyphyllus,marsh lupine,North America,1959,Nonindigenous
Plants,Lamiaceae,Lycopus asper,rough bugleweed,North America,1892,Nonindigenous
Plants,Lamiaceae,Lycopus europaeus,European bugleweed,Eurasia,1903,Nonindigenous
Plants,Primulaceae,Lysimachia nummularia,creeping jenny,Eurasia,1882,Nonindigenous
Plants,Primulaceae,Lysimachia vulgaris,garden loosestrife,Eurasia,1912,Nonindigenous
Plants,Lythraceae,Lythrum salicaria,purple loosestrife,Eurasia,1869,Nonindigenous
Plants,Marsileaceae,Marsilea quadrifolia,European water-clover,Eurasia,1893,Nonindigenous
Plants,Lamiaceae,Mentha × gracilis,gingermint,Eurasia,1896,Nonindigenous
Plants,Lamiaceae,Mentha aquatica,water mint,Eurasia,1843,Nonindigenous
Plants,Lamiaceae,Mentha spicata,spearmint,Eurasia,1843,Nonindigenous
Plants,Poaceae,Microstegium vimineum,Japanese stiltgrass,Eurasia,1991,Nonindigenous
Plants,Boraginaceae,Myosotis scorpioides,forget-me-not,Eurasia,1886,Nonindigenous
Plants,Caryophyllaceae,Myosoton aquaticum,giant chickweed,Eurasia,1894,Nonindigenous
Plants,Haloragaceae,Myriophyllum spicatum,Eurasian watermilfoil,Eurasia,1880,Nonindigenous
Plants,Hydrocharitaceae,Najas marina,holly-leaf waternymph,North and Central America,1864,Range Expander
Plants,Hydrocharitaceae,Najas minor,brittle waternymph,Eurasia,1932,Nonindigenous
Plants,Brassicaceae,Nasturtium officinale,water-cress,Eurasia,1847,Nonindigenous
Plants,Menyanthaceae,Nymphoides peltata,yellow floating-heart,Eurasia,1930,Nonindigenous
Plants,Polygonaceae,Persicaria maculosa,spotted ladysthumb,Eurasia,1838,Nonindigenous
Plants,Poaceae,Phalaris arundinacea,reed canarygrass,North America,1838,Nonindigenous
Plants,Poaceae,Phragmites australis australis,common reed,Europe,1828,Nonindigenous
Plants,Asteraceae,Pluchea odorata,sweetscent,North America,1912,Nonindigenous
Plants,Poaceae,Poa trivialis,rough bluegrass,Eurasia,1843,Nonindigenous
Plants,Potamogetonaceae,Potamogeton crispus,curly-leaf pondweed,Eurasia,1879,Nonindigenous
Plants,Poaceae,Puccinellia distans,weeping alkaligrass,Eurasia,1893,Nonindigenous
Plants,Rhamnaceae,Rhamnus frangula,glossy buckthorn,Eurasia,1913,Nonindigenous
Plants,Brassicaceae,Rorippa sylvestris,keek,Eurasia,1884,Nonindigenous
Plants,Polygonaceae,Rumex longifolius,door-yard dock,Eurasia,1901,Nonindigenous
Plants,Polygonaceae,Rumex obtusifolius,bluntleaf dock,Eurasia,1837,Nonindigenous
Plants,Salicaceae,Salix alba,golden willow,Eurasia,1886,Nonindigenous
Plants,Salicaceae,Salix caprea,goat willow,Eurasia,1905,Nonindigenous
Plants,Salicaceae,Salix cf. cinerea/atrocinerea,large gray willow,Europe and Africa,1980,Nonindigenous
Plants,Salicaceae,Salix fragilis,crack willow,Eurasia,1886,Nonindigenous
Plants,Salicaceae,Salix purpurea,purple osier,Eurasia,1880,Nonindigenous
Plants,Solanaceae,Solanum dulcamara,bitter nightshade,Eurasia,1860,Nonindigenous
Plants,Asteraceae,Solidago sempervirens,seaside goldenrod,North America,1969,Nonindigenous
Plants,Typhaceae,Sparganium glomeratum,northern bur-reed,North America,1936,Range Expander
Plants,Hydrocharitaceae,Stratiotes aloides,water soldiers,Eurasia,2009,Nonindigenous
Plants,Lythraceae,Trapa natans,water chestnut,Eurasia,1949,Nonindigenous
Plants,Typhaceae,Typha angustifolia,narrow-leaved cattail,Eurasia,1877,Nonindigenous
Plants,Plantaginaceae,Veronica beccabunga,European speedwell,Europe,1849,Nonindigenous
Platyhelminthes,Dactylogyridae,Dactylogyrus amphibothrium,a monogenetic fluke,Eurasia,1992,Nonindigenous
Platyhelminthes,Dactylogyridae,Dactylogyrus hemiamphibothrium,a monogenetic fluke,Eurasia,1992,Nonindigenous
Platyhelminthes,Strigeidae,Ichthyocotylurus pileatus,a digenean fluke,Eurasia,1929,Nonindigenous
Platyhelminthes,Diplostomatidae,Neascus brevicaudatus,"a digenean fluke, trematode",Eurasia,1992,Nonindigenous
Platyhelminthes,Dugesiidae,Schmidtea polychroa,a flatworm,Europe,1968,Nonindigenous
Platyhelminthes,Bothriocephalidae,Schyzocotyle acheilognathi,Asian tapeworm,Asia,2001,Nonindigenous
Platyhelminthes,,Scolex pleuronectis,a cestode,Eurasia,1994,Nonindigenous
Platyhelminthes,Acanthostomatidae,Timoniella sp.,"a digenean fluke, trematode",Unknown,1992,Nonindigenous
Protozoans,Acinetidae,Acineta nitocrae,a suctorian ciliate,Eurasia,1997,Nonindigenous
Protozoans,Glugeidae,Glugea hertwigi,a microsporidian parasite,Europe,1960,Nonindigenous
Protozoans,Glugeidae,Heterosporis sutherlandae,a microsporidian parasite,Unknown,2000,Nonindigenous
Protozoans,Myxosomatidae,Myxobolus cerebralis,salmonid whirling disease,Europe,1968,Nonindigenous
Protozoans,Psammonobiotidae,Psammonobiotus communis,a testate amoeba,Eurasia,2002,Nonindigenous
Protozoans,Psammonobiotidae,Psammonobiotus dziwnowi,a testate amoeba,Eurasia,2002,Nonindigenous
Protozoans,Psammonobiotidae,Psammonobiotus linearis,a testate amoeba,Eurasia,2002,Nonindigenous
Protozoans,,Sphaeromyxa sevastopoli,a myxosporean parasite,Eurasia,1994,Nonindigenous
Protozoans,,Trypanosoma acerinae,a flagellate parasite,Eurasia,1985,Nonindigenous
Reptiles-Turtles,Emydidae,Trachemys scripta elegans,Red-eared Slider,North America,1924,Range Expander
Viruses,Novirhabdoviridae,Novirhabdovirus sp. genotype IV sublineage b,Viral Hemorrhagic Septicemia Virus (VHSV-IVb),North America,2003,Nonindigenous
Viruses,Iridoviridae,Ranavirus,Largemouth bass virus (LMBV),Unknown,2000,Nonindigenous
Viruses,,Rhabdovirus carpio,spring viremia of carp (SVC),Eurasia,2001,Nonindigenous
